,ict_fvg,ict_order_block,ict_liquidity_sweep,ict_mss
2024-07-30,0.004632986817257656,0.0,0.0003310846750828045,0.0
2024-07-31,-0.014965681209645032,0.0,0.011033219274944939,0.0
2024-08-01,-0.008617794319743854,0.005042442808060432,0.010970260955717404,0.005042442808060432
2024-08-02,0.0256162425420694,0.008355427905538892,0.013202601843123052,-0.0033739309453816313
2024-08-05,0.028933944772710163,-0.011433531853135781,0.0,-0.0003333333333332966
2024-08-06,-0.009005691795979542,-0.0004999999999999449,0.0,0.0
2024-08-07,-0.006049869912217121,0.0,0.0,0.0
2024-08-08,-0.013934683257297187,0.0,0.0,0.0
2024-08-09,0.004680420050644285,0.0,-0.0038641861219045337,-0.0019068796386597642
2024-08-12,0.0006706721698790385,0.0,-0.0007769708457343594,0.0019869014778852723
2024-08-13,0.008753555017977588,0.003326551654527554,-0.0014344492112539076,0.0007657217132790439
2024-08-14,-0.0019503980070039173,-0.0001666666666666483,0.0019537711868209406,-0.0026701394530791456
2024-08-15,-0.002290900702536125,0.004811091365956033,-0.010053843988757416,0.0015575689553621874
2024-08-16,-0.0026243752184078595,-0.0004999999999999449,0.0,-0.0001666666666666483
2024-08-19,0.009914361257303161,0.0,0.0,0.0
2024-08-20,-0.008141300803863771,0.0,0.0,0.0
2024-08-21,0.003899689151802388,0.0,0.0,0.0
2024-08-22,0.003459956619884519,0.0,0.0,0.0
2024-08-23,-0.010138337434760336,-0.000766584377682733,0.0,0.0
2024-08-26,-0.0028678430469702976,-0.0004999999999999449,0.0005266508884622656,0.0
2024-08-27,-0.0019375397943171002,0.0,-0.0002024659701127529,0.0
2024-08-28,-0.007591671989814031,0.0,0.0,0.0
2024-08-29,-0.012112405078383182,0.0,0.0,0.0
2024-08-30,-0.012319140695510544,0.0,0.0,0.0
2024-09-03,-0.009971263553316567,0.0,-0.002638009176935574,0.007012747964264543
2024-09-04,0.00044634760555006814,0.0,-0.0003573148323658959,-0.0004047985285392519
2024-09-05,-0.0009506607425014968,-0.0032299500394795677,0.0,0.0
2024-09-06,0.005855554441834165,0.01622560627957359,0.0,0.003121726138420877
2024-09-09,-0.010330099582031682,-0.0004999999999999449,0.0,-0.0001666666666666483
2024-09-10,-0.0018430845156627296,0.0,0.0,0.0
2024-09-11,-0.01893654466901562,-0.0068447125642395745,0.0,0.0
2024-09-12,0.010582731722619698,-0.0001666666666666483,0.0,0.0
2024-09-13,0.011911460255238815,0.0,0.0,0.0
2024-09-16,-0.001111364524064573,0.0,0.0,0.0
2024-09-17,-0.003028362339787094,-0.0018403439070041605,0.0017166711973826132,-0.005199316904024642
2024-09-18,-0.0036530104172782796,-0.006715679270059116,0.003016994972959486,-0.009815912880663191
2024-09-19,0.005600375110430544,0.005600375110430544,-0.021905314557874145,0.011708569106551492
2024-09-20,-0.008180913822508518,-0.0004999999999999449,0.0,-0.0004999999999999449
2024-09-23,-0.0032809706500157576,0.0,0.0,0.0
2024-09-24,-0.0002567374917851195,0.0,7.294976139360365e-05,0.0
2024-09-25,0.001947719967672068,0.0,-0.00040081769384903154,-0.0006937507299743517
2024-09-26,-0.004905465961536071,-0.0002644256903113762,-0.002632653110073546,0.0024128746785765376
